ADC Channel - Charge distribution	ADC Counts - Charge distribution	
23325	2586	
23375	2570	
23425	2537	
23475	2497	
23525	2412	
23575	2502	
23625	2523	
23675	2591	
23725	2518	
23775	2495	
23825	2434	
23875	2416	
23925	2394	
23975	2436	
24025	2424	
24075	2391	
24125	2424	
24175	2353	
24225	2348	
24275	2305	
24325	2401	
24375	2295	
24425	2333	
24475	2326	
24525	2377	
24575	2364	
24625	2377	
24675	2250	
24725	2314	
24775	2321	
24825	2298	
24875	2294	
24925	2351	
24975	2221	
25025	2246	
25075	2248	
25125	2277	
25175	2233	
25225	2151	
25275	2206	
25325	2136	
25375	2228	
25425	2148	
25475	2113	
25525	2173	
25575	2102	
25625	2137	
25675	2148	
25725	2170	
25775	2173	
25825	2138	
25875	2132	
25925	2104	
25975	2183	
26025	2182	
26075	2054	
26125	2096	
26175	1998	
26225	2095	
26275	2077	
26325	2048	
26375	2065	
26425	1967	
26475	1961	
26525	2004	
26575	2073	
26625	2043	
26675	1878	
26725	1922	
26775	1934	
26825	1977	
26875	1921	
26925	2020	
26975	1955	
27025	1889	
27075	1876	
27125	1912	
27175	1944	
27225	1953	
27275	1929	
27325	1802	
27375	1829	
27425	1856	
27475	1792	
27525	1904	
27575	1865	
27625	1811	
27675	1803	
27725	1784	
27775	1771	
27825	1727	
27875	1776	
27925	1711	
27975	1834	
28025	1718	
28075	1711	
28125	1757	
28175	1720	
28225	1710	
28275	1669	
28325	1706	
28375	1731	
28425	1750	
28475	1695	
28525	1676	
28575	1587	
28625	1610	
28675	1581	
28725	1624	
28775	1587	
28825	1559	
28875	1577	
28925	1556	
28975	1571	
29025	1565	
29075	1597	
29125	1581	
29175	1557	
29225	1507	
29275	1496	
29325	1473	
29375	1478	
29425	1446	
29475	1425	
29525	1493	
29575	1442	
29625	1407	
29675	1390	
29725	1465	
29775	1419	
29825	1414	
29875	1323	
29925	1378	
29975	1339	
30025	1369	
30075	1283	
30125	1396	
30175	1334	
30225	1337	
30275	1268	
30325	1229	
30375	1334	
30425	1333	
30475	1249	
30525	1235	
30575	1173	
30625	1149	
30675	1175	
30725	1239	
30775	1152	
30825	1246	
30875	1131	
30925	1115	
30975	1224	
31025	1126	
31075	1113	
31125	1069	
31175	1144	
31225	1114	
31275	1079	
31325	1124	
31375	1069	
31425	1084	
31475	1057	
31525	1049	
31575	1055	
