Number of pulses received - @ Low	Counts - @ Low	
640.825	3	
648.475	0	
656.125	1	
663.775	4	
671.425	3	
679.075	12	
686.725	17	
694.375	12	
702.025	23	
709.675	23	
717.325	30	
724.975	13	
732.625	20	
740.275	11	
747.925	10	
755.575	8	
763.225	4	
770.875	4	
778.525	1	
786.175	1	
