Number of pulses received - @ Low	Counts - @ Low	
528.425	1	
535.275	0	
542.125	3	
548.975	4	
555.825	4	
562.675	5	
569.525	6	
576.375	12	
583.225	20	
590.075	15	
596.925	20	
603.775	22	
610.625	19	
617.475	12	
624.325	17	
631.175	14	
638.025	11	
644.875	6	
651.725	7	
658.575	2	
