Number of pulses received - @ Low	Counts - @ Low	
598.375	2	
605.125	0	
611.875	1	
618.625	5	
625.375	7	
632.125	15	
638.875	16	
645.625	14	
652.375	23	
659.125	19	
665.875	23	
672.625	20	
679.375	20	
686.125	18	
692.875	4	
699.625	4	
706.375	5	
713.125	2	
719.875	0	
726.625	2	
