Number of pulses received - @ Low	Counts - @ Low	
901.575	2	
910.725	1	
919.875	3	
929.025	2	
938.175	6	
947.325	13	
956.475	16	
965.625	21	
974.775	17	
983.925	23	
993.075	22	
1002.22	15	
1011.37	14	
1020.52	17	
1029.67	6	
1038.83	11	
1047.97	2	
1057.12	1	
1066.27	4	
1075.42	4	
