1	630	1	102.54	4	0.32	0.4	14.5	0.4
2	640	1	102.5	4	0.32	0.4	15	0.4
3	645	1	102.7	4	0.32	0.4	14.3	0.4
4	650	1	102.22	4	0.32	0.4	14.9	0.4
5	652	1	102.4	4	0.32	0.4	14.6	0.4
6	657	1	103.8	4	0.32	0.4	15.6	1
7	660.4	1	103.74	4	0.4	0.4	16	1
8	662.4	1	103.8	4	0.4	0.4	16.8	1
9	665.4	1	103.92	4	0.4	0.4	17	1
10	667	1	103.84	4	0.4	0.4	17.4	1
11	670	1	104.1	4	0.48	0.4	16.5	1
12	672.8	1	104.05	4	1.6	0.4	14.2	0.4
13	675	1	103.99	4	6.8	0.4	13.3	0.4
14	676	1	103.67	4	13.4	0.4	12.4	0.4
15	677.2	1	103.58	4	21.4	1	13	0.4
16	679	1	103.7	4	32.6	1	13.5	0.4
17	680	1	103.6	4	36.4	2	12.4	0.4
18	681	1	103.75	4	42	2	12	0.4
19	681.8	1	103.3	4	45.6	2	11.4	0.4
20	683.2	1	103.5	4	48.4	2	11.5	0.4
21	684	1	103.55	4	51.2	2	10.2	0.4
22	686	1	103.4	4	53.2	2	9.6	0.4
23	688	1	103.2	4	54.4	2	8.4	0.4
24	690	1	102.9	4	55.6	2	7.6	0.4
25	694.6	1	102.55	4	55.6	2	5.3	0.4
26	700	1	102.15	4	55.6	2	3.92	0.4
27	704.8	1	101.6	4	55.6	2	3.51	0.4
28	710	1	102.17	4	56	2	3.2	0.4
29	715	1	101.8	4	56.4	2	2.9	0.4
30	720	1	101.87	4	56.4	2	2.72	0.4

