1	630.0	102.54	4	0.71	0.4	33.5	0.2	20.5	0.2
2	640.0	102.5	4	0.00	0.4	35.8	0.2	21.6	0.2
3	645.0	102.7	4	0.99	0.4	35.9	0.2	22.3	0.2
4	650.0	102.22	4	1.02	0.4	37.8	0.2	24.0	0.2
5	652.0	102.4	4	1.13	0.4	37.6	0.2	24.7	0.2
6	657.0	103.8	4	0.99	0.4	40.2	0.2	26.2	0.2
7	660.4	103.74	4	1.13	0.4	40.2	0.2	25.7	0.2
8	662.4	103.8	4	0.99	0.4	39.9	0.2	26.6	0.2
9	665.4	103.92	4	1.13	0.4	40.7	0.2	27.6	0.2
10	667.0	103.84	4	1.13	0.4	41.9	0.2	28.0	0.2
11	670.0	104.1	4	1.13	0.4	41.9	0.2	26.9	0.2
12	672.8	104.05	4	0.14	0.4	41.6	0.2	22.3	0.2
13	675.0	103.99	4	12.05	0.4	47.4	0.2	18.0	0.2
14	676.0	103.67	4	17.54	0.4	47.0	0.2	17.0	0.2
15	677.2	103.58	4	31.11	0.2	67.0	0.2	16.1	0.2
16	679.0	103.7	4	56.57	2	72.7	0.2	15.1	0.2
17	680.0	103.6	4	63.64	2	65.1	0.2	14.7	0.2
18	681.0	103.75	4	70.71	2	63.4	0.2	14.1	0.2
19	681.8	103.3	4	77.78	2	60.1	0.2	13.4	0.2
20	683.2	103.5	4	82.02	2	57.1	0.2	12.6	0.2
21	684.0	103.55	4	84.85	2	54.0	0.2	11.7	0.2
22	686.0	103.4	4	88.67	2	48.1	0.2	9.9	0.2
23	688.0	103.2	4	90.65	2	41.0	0.2	8.5	0.2
24	690.0	102.9	4	91.36	2	35.5	0.2	7.2	0.2
25	694.6	102.55	4	92.32	2	25.7	0.2	5.2	0.2
26	700.0	102.15	4	92.35	2	19.4	0.2	3.7	0.2
27	704.8	101.6	4	92.35	2	14.8	0.2	3.4	0.2
28	710.0	102.17	4	92.21	4	12.9	0.2	3.3	0.2
29	715.0	101.8	4	92.91	4	11.5	0.2	3.1	0.2
30	720.0	101.87	4	92.91	4	10.6	0.2	2.9	0.2


