ADC Channel - Charge distribution	ADC Counts - Charge distribution	
525	0	
575	0	
625	0	
675	0	
725	3	
775	3	
825	1	
875	10	
925	26	
975	29	
1025	44	
1075	72	
1125	109	
1175	164	
1225	232	
1275	308	
1325	394	
1375	486	
1425	512	
1475	568	
1525	551	
1575	555	
1625	616	
1675	568	
1725	636	
1775	637	
1825	648	
1875	672	
1925	655	
1975	652	
2025	663	
2075	720	
2125	695	
2175	685	
2225	716	
2275	693	
2325	745	
2375	728	
2425	694	
2475	777	
2525	784	
2575	783	
2625	764	
2675	748	
2725	749	
2775	745	
2825	836	
2875	816	
2925	819	
2975	789	
3025	777	
3075	829	
3125	781	
3175	819	
3225	854	
3275	822	
3325	843	
3375	838	
3425	832	
3475	834	
3525	876	
3575	847	
3625	916	
3675	892	
3725	887	
3775	852	
3825	873	
3875	885	
3925	929	
3975	899	
4025	942	
4075	936	
4125	926	
4175	881	
4225	974	
4275	966	
4325	951	
4375	973	
4425	956	
4475	971	
4525	976	
4575	984	
4625	955	
4675	955	
4725	966	
4775	1002	
4825	963	
4875	991	
4925	953	
4975	1027	
5025	1045	
5075	1022	
5125	1009	
5175	1036	
5225	1019	
5275	1055	
5325	1017	
5375	1008	
5425	1059	
5475	982	
5525	997	
5575	1003	
5625	1066	
5675	1042	
5725	1102	
5775	1038	
5825	1029	
5875	1114	
5925	1022	
5975	1091	
6025	1081	
6075	1044	
6125	1039	
6175	1099	
6225	1097	
6275	1047	
6325	1081	
6375	1115	
6425	1103	
6475	1100	
6525	1056	
6575	1069	
6625	1178	
6675	1131	
6725	1042	
6775	1139	
6825	1046	
6875	1099	
6925	1155	
6975	1087	
7025	1094	
7075	1114	
7125	1082	
7175	1071	
7225	1164	
7275	1149	
7325	1149	
7375	1135	
7425	1118	
7475	1165	
7525	1058	
7575	1152	
7625	1105	
7675	1124	
7725	1127	
7775	1146	
7825	1161	
7875	1109	
7925	1072	
7975	1201	
8025	1134	
8075	1163	
8125	1169	
8175	1144	
8225	1132	
8275	1164	
8325	1086	
8375	1109	
8425	1119	
8475	1158	
8525	1108	
8575	1122	
8625	1158	
8675	1162	
8725	1158	
8775	1190	
8825	1215	
8875	1143	
8925	1083	
8975	1167	
9025	1150	
9075	1152	
9125	1141	
9175	1180	
9225	1168	
9275	1202	
9325	1162	
9375	1099	
9425	1157	
9475	1143	
9525	1139	
9575	1139	
9625	1180	
9675	1082	
9725	1141	
9775	1110	
9825	1147	
9875	1161	
9925	1150	
9975	1148	
10025	1198	
10075	1206	
10125	1142	
10175	1189	
10225	1132	
10275	1169	
10325	1099	
10375	1159	
10425	1106	
10475	1181	
10525	1126	
10575	1150	
10625	1129	
10675	1081	
10725	1114	
10775	1138	
10825	1159	
10875	1129	
10925	1139	
10975	1130	
11025	1174	
11075	1100	
11125	1197	
11175	1149	
11225	1171	
11275	1163	
11325	1147	
11375	1185	
11425	1157	
11475	1135	
11525	1155	
11575	1172	
11625	1095	
11675	1153	
11725	1172	
11775	1154	
11825	1133	
11875	1192	
11925	1108	
11975	1043	
12025	1155	
12075	1143	
12125	1155	
12175	1168	
12225	1117	
12275	1121	
12325	1076	
12375	1174	
12425	1144	
12475	1135	
12525	1096	
12575	1115	
12625	1093	
12675	1093	
12725	1106	
12775	1118	
12825	1116	
12875	1145	
12925	1084	
12975	1128	
13025	1117	
13075	1123	
13125	1113	
13175	1102	
13225	1149	
13275	1108	
13325	1065	
13375	1106	
13425	1063	
13475	1138	
13525	1133	
13575	1096	
13625	1090	
13675	1153	
13725	1056	
13775	1033	
13825	1097	
13875	1062	
13925	1064	
13975	1146	
14025	1048	
14075	1045	
14125	1079	
14175	1024	
14225	1134	
14275	1063	
14325	1133	
14375	1059	
14425	1117	
14475	1103	
14525	1049	
14575	1060	
14625	1040	
14675	1048	
14725	1130	
14775	1106	
14825	1122	
14875	1115	
14925	1115	
14975	1072	
15025	1044	
15075	1015	
15125	1070	
15175	1039	
15225	1059	
15275	1026	
15325	1077	
15375	1046	
15425	1034	
15475	1091	
15525	1062	
15575	1047	
15625	1015	
15675	1014	
15725	1001	
15775	992	
15825	1033	
15875	1023	
15925	1037	
15975	927	
16025	1048	
16075	1043	
16125	1017	
16175	986	
16225	1046	
16275	1046	
16325	972	
16375	1004	
16425	1042	
16475	1006	
16525	994	
16575	994	
16625	1036	
16675	1006	
16725	1055	
16775	1020	
16825	1022	
16875	1019	
16925	971	
16975	994	
17025	1030	
17075	1011	
17125	1041	
17175	1004	
17225	976	
17275	999	
17325	1010	
17375	996	
17425	970	
17475	966	
17525	976	
17575	992	
17625	972	
17675	990	
17725	932	
17775	970	
17825	954	
17875	961	
17925	938	
17975	955	
18025	997	
18075	955	
18125	952	
18175	963	
18225	926	
18275	952	
18325	920	
18375	931	
18425	976	
18475	944	
18525	919	
18575	906	
18625	885	
18675	963	
18725	951	
18775	913	
18825	918	
18875	910	
18925	971	
18975	940	
19025	926	
19075	890	
19125	944	
19175	919	
19225	863	
19275	942	
19325	909	
19375	930	
19425	899	
19475	914	
19525	929	
19575	908	
19625	930	
19675	914	
19725	937	
19775	874	
19825	888	
19875	901	
19925	965	
19975	884	
20025	861	
20075	891	
20125	914	
20175	835	
20225	903	
20275	896	
20325	853	
20375	865	
20425	922	
20475	881	
20525	884	
20575	880	
20625	864	
20675	843	
20725	823	
20775	842	
20825	839	
