ADC Channel - Charge distribution	ADC Counts - Charge distribution	
525	0	
575	0	
625	2	
675	1	
725	2	
775	2	
825	4	
875	7	
925	14	
975	35	
1025	48	
1075	77	
1125	107	
1175	179	
1225	288	
1275	376	
1325	449	
1375	524	
1425	609	
1475	567	
1525	601	
1575	600	
1625	653	
1675	682	
1725	666	
1775	728	
1825	664	
1875	746	
1925	719	
1975	720	
2025	640	
2075	715	
2125	700	
2175	801	
2225	752	
2275	773	
2325	721	
2375	776	
2425	777	
2475	765	
2525	803	
2575	793	
2625	802	
2675	798	
2725	845	
2775	853	
2825	767	
2875	878	
2925	803	
2975	837	
3025	881	
3075	886	
3125	857	
3175	857	
3225	874	
3275	915	
3325	905	
3375	818	
3425	921	
3475	902	
3525	900	
3575	817	
3625	924	
3675	953	
3725	854	
3775	898	
3825	895	
3875	873	
3925	913	
3975	923	
4025	1008	
4075	918	
4125	904	
4175	974	
4225	988	
4275	974	
4325	969	
4375	941	
4425	934	
4475	947	
4525	954	
4575	1015	
4625	1007	
4675	985	
4725	967	
4775	1022	
4825	980	
4875	944	
4925	982	
4975	1006	
5025	969	
5075	998	
5125	998	
5175	1052	
5225	965	
5275	1000	
5325	975	
5375	1065	
5425	1048	
5475	985	
5525	1014	
5575	1039	
5625	1024	
5675	1033	
5725	983	
5775	1051	
5825	983	
5875	1071	
5925	995	
5975	969	
6025	1028	
6075	1035	
6125	1006	
6175	1051	
6225	1063	
6275	1018	
6325	991	
6375	1085	
6425	1026	
6475	1016	
6525	1001	
6575	1020	
6625	1019	
6675	1035	
6725	1046	
6775	1026	
6825	966	
6875	1029	
6925	1085	
6975	1093	
7025	1101	
7075	1083	
7125	1037	
7175	1045	
7225	1091	
7275	1059	
7325	1056	
7375	1041	
7425	1078	
7475	1098	
7525	1069	
7575	1087	
7625	1006	
7675	1136	
7725	1095	
7775	1088	
7825	1101	
7875	1084	
7925	1090	
7975	1053	
8025	1076	
8075	1080	
8125	1105	
8175	1096	
8225	1019	
8275	1145	
8325	1125	
8375	1090	
8425	1096	
8475	1085	
8525	1138	
8575	1153	
8625	1084	
8675	1097	
8725	1144	
8775	1059	
8825	1111	
8875	1115	
8925	1123	
8975	1131	
9025	1093	
9075	1090	
9125	1020	
9175	1099	
9225	1101	
9275	1143	
9325	1105	
9375	1047	
9425	1027	
9475	1027	
9525	1100	
9575	1141	
9625	1139	
9675	1153	
9725	1041	
9775	1124	
9825	1046	
9875	1137	
9925	1075	
9975	1087	
10025	1074	
10075	1096	
10125	1117	
10175	1074	
10225	1094	
10275	1104	
10325	1085	
10375	1015	
10425	1061	
10475	1118	
10525	1037	
10575	1085	
10625	1055	
10675	1120	
10725	1044	
10775	1075	
10825	1070	
10875	1068	
10925	1082	
10975	1068	
11025	1051	
11075	1080	
11125	1107	
11175	1033	
11225	1064	
11275	1106	
11325	1060	
11375	1064	
11425	1084	
11475	989	
11525	1106	
11575	1123	
11625	1086	
11675	1045	
11725	1057	
11775	1091	
11825	1050	
11875	1098	
11925	1069	
11975	1073	
12025	1052	
12075	1095	
12125	1020	
12175	1123	
12225	1050	
12275	1033	
12325	1015	
12375	1060	
12425	1073	
12475	1094	
12525	1068	
12575	1093	
12625	1095	
12675	1054	
12725	1092	
12775	1070	
12825	1041	
12875	1064	
12925	1076	
12975	1056	
13025	1062	
13075	1067	
13125	1027	
13175	1023	
13225	1084	
13275	1039	
13325	1094	
13375	1074	
13425	1047	
13475	1057	
13525	1019	
13575	1034	
13625	1038	
13675	1090	
13725	1030	
13775	1028	
13825	1055	
13875	1060	
13925	1015	
13975	1005	
14025	1053	
14075	1034	
14125	1083	
14175	1028	
14225	1050	
14275	983	
14325	1048	
14375	1028	
14425	1033	
14475	1009	
14525	998	
14575	1082	
14625	984	
14675	1036	
14725	1074	
14775	990	
14825	1008	
14875	935	
14925	1029	
14975	946	
15025	1033	
15075	1004	
15125	994	
15175	1035	
15225	989	
15275	993	
15325	992	
15375	980	
15425	1008	
15475	967	
15525	982	
15575	1017	
15625	983	
15675	939	
15725	1006	
15775	1014	
15825	991	
15875	1029	
15925	1013	
15975	980	
16025	922	
16075	1002	
16125	954	
16175	934	
16225	976	
16275	1000	
16325	949	
16375	1011	
16425	984	
16475	1003	
16525	948	
16575	988	
16625	961	
16675	951	
16725	903	
16775	937	
16825	979	
16875	960	
16925	938	
16975	991	
17025	951	
17075	921	
17125	896	
17175	925	
17225	904	
17275	952	
17325	901	
17375	918	
17425	953	
17475	897	
17525	927	
17575	890	
17625	965	
17675	900	
17725	903	
17775	912	
17825	907	
17875	894	
17925	913	
17975	901	
18025	899	
18075	940	
18125	903	
18175	943	
18225	925	
18275	932	
18325	895	
18375	873	
18425	856	
18475	844	
18525	888	
18575	903	
18625	912	
18675	908	
18725	968	
18775	841	
18825	851	
18875	857	
18925	893	
18975	853	
19025	825	
19075	869	
19125	893	
19175	890	
19225	810	
19275	924	
19325	874	
19375	865	
19425	851	
19475	814	
19525	816	
19575	824	
19625	863	
19675	852	
19725	865	
19775	861	
19825	893	
19875	856	
19925	831	
19975	814	
20025	861	
20075	849	
20125	845	
20175	857	
20225	860	
20275	863	
20325	779	
20375	776	
20425	803	
20475	753	
20525	775	
20575	831	
20625	812	
20675	830	
20725	788	
20775	727	
20825	842	
20875	787	
20925	741	
20975	779	
21025	794	
21075	757	
21125	764	
