ADC Channel - Charge distribution	ADC Counts - Charge distribution	
525	0	
575	0	
625	0	
675	0	
725	0	
775	1	
825	2	
875	6	
925	19	
975	18	
1025	54	
1075	69	
1125	117	
1175	161	
1225	289	
1275	372	
1325	446	
1375	558	
1425	587	
1475	668	
1525	648	
1575	692	
1625	683	
1675	726	
1725	749	
1775	789	
1825	682	
1875	787	
1925	761	
1975	802	
2025	757	
2075	770	
2125	810	
2175	767	
2225	841	
2275	827	
2325	856	
2375	799	
2425	808	
2475	882	
2525	860	
2575	857	
2625	870	
2675	859	
2725	922	
2775	926	
2825	879	
2875	859	
2925	900	
2975	941	
3025	876	
3075	896	
3125	913	
3175	941	
3225	939	
3275	906	
3325	980	
3375	990	
3425	930	
3475	1027	
3525	965	
3575	1001	
3625	970	
3675	1005	
3725	964	
3775	986	
3825	1036	
3875	942	
3925	1010	
3975	983	
4025	1029	
4075	917	
4125	1033	
4175	1016	
4225	977	
4275	1027	
4325	1053	
4375	1061	
4425	1007	
4475	1028	
4525	1002	
4575	1039	
4625	994	
4675	1032	
4725	1027	
4775	1015	
4825	1068	
4875	1030	
4925	1023	
4975	1036	
5025	998	
5075	983	
5125	1059	
5175	1043	
5225	963	
5275	1062	
5325	998	
5375	1026	
5425	1027	
5475	1048	
5525	1040	
5575	1043	
5625	1020	
5675	1093	
5725	1013	
5775	1085	
5825	1002	
5875	1101	
5925	1063	
5975	1093	
6025	1012	
6075	1055	
6125	1056	
6175	1017	
6225	1040	
6275	1005	
6325	1029	
6375	1082	
6425	1092	
6475	1045	
6525	1041	
6575	1081	
6625	1058	
6675	1105	
6725	1050	
6775	1097	
6825	1081	
6875	1084	
6925	1124	
6975	1103	
7025	1052	
7075	1084	
7125	1070	
7175	986	
7225	1027	
7275	1072	
7325	1091	
7375	1058	
7425	1056	
7475	1055	
7525	1040	
7575	1047	
7625	1044	
7675	1056	
7725	1072	
7775	1086	
7825	1012	
7875	1083	
7925	1040	
7975	1062	
8025	1133	
8075	1083	
8125	1006	
8175	1070	
8225	1061	
8275	1138	
8325	1119	
8375	1052	
8425	1080	
8475	1043	
8525	1131	
8575	1125	
8625	1124	
8675	1094	
8725	1011	
8775	1129	
8825	1049	
8875	1047	
8925	1107	
8975	1103	
9025	1082	
9075	1095	
9125	1063	
9175	1046	
9225	1129	
9275	1104	
9325	1080	
9375	1025	
9425	1062	
9475	1033	
9525	1108	
9575	1021	
9625	1039	
9675	1080	
9725	1110	
9775	1076	
9825	1144	
9875	1158	
9925	1096	
9975	1035	
10025	1087	
10075	1083	
10125	1069	
10175	1053	
10225	1029	
10275	1102	
10325	1030	
10375	1030	
10425	1049	
10475	1057	
10525	1062	
10575	1112	
10625	1049	
10675	1080	
10725	1089	
10775	1076	
10825	1117	
10875	1067	
10925	1083	
10975	1131	
11025	1039	
11075	1044	
11125	1051	
11175	1047	
11225	1033	
11275	1063	
11325	1094	
11375	1064	
11425	1123	
11475	1047	
11525	1065	
11575	1082	
11625	1046	
11675	1085	
11725	1102	
11775	1040	
11825	1047	
11875	1047	
11925	1039	
11975	1031	
12025	1057	
12075	1048	
12125	1028	
12175	1058	
12225	1040	
12275	1041	
12325	1014	
12375	1043	
12425	1079	
12475	1089	
12525	1050	
12575	1007	
12625	1031	
12675	1032	
12725	1039	
12775	1036	
12825	1034	
12875	1030	
12925	1018	
12975	1057	
13025	1061	
13075	1054	
13125	1055	
13175	1033	
13225	1092	
13275	1082	
13325	1105	
13375	1028	
13425	1012	
13475	1024	
13525	1076	
13575	1062	
13625	1024	
13675	1025	
13725	1079	
13775	1040	
13825	1031	
13875	1093	
13925	1003	
13975	1055	
14025	934	
14075	1064	
14125	1004	
14175	1000	
14225	982	
14275	990	
14325	1020	
14375	1044	
14425	1028	
14475	987	
14525	1044	
14575	994	
14625	965	
14675	1013	
14725	1014	
14775	992	
14825	992	
14875	989	
14925	1026	
14975	968	
15025	969	
15075	953	
15125	938	
15175	1001	
15225	964	
15275	996	
15325	987	
15375	951	
15425	953	
15475	975	
15525	1004	
15575	927	
15625	989	
15675	982	
15725	943	
15775	929	
15825	993	
15875	939	
15925	967	
15975	1007	
16025	933	
16075	1023	
16125	962	
16175	989	
16225	1005	
16275	935	
16325	966	
16375	887	
16425	931	
16475	992	
16525	951	
16575	967	
16625	951	
16675	983	
16725	908	
16775	905	
16825	970	
16875	932	
16925	978	
16975	942	
17025	983	
17075	914	
17125	890	
17175	964	
17225	896	
17275	914	
17325	919	
17375	873	
17425	924	
17475	949	
17525	883	
17575	897	
17625	900	
17675	887	
17725	912	
17775	892	
17825	903	
17875	901	
17925	911	
17975	889	
18025	915	
18075	876	
18125	903	
18175	937	
18225	855	
18275	849	
18325	941	
18375	874	
18425	851	
18475	911	
18525	898	
18575	843	
18625	884	
18675	875	
18725	843	
18775	855	
18825	854	
18875	883	
18925	867	
18975	842	
19025	836	
19075	919	
19125	858	
19175	867	
19225	835	
19275	823	
19325	798	
19375	867	
19425	824	
19475	864	
19525	849	
19575	779	
19625	859	
19675	880	
19725	821	
19775	846	
19825	837	
19875	771	
19925	871	
19975	878	
20025	785	
20075	770	
20125	773	
20175	767	
20225	768	
20275	772	
20325	786	
20375	833	
20425	821	
20475	781	
20525	798	
20575	822	
20625	763	
20675	739	
20725	801	
20775	795	
20825	768	
20875	769	
20925	744	
20975	752	
21025	715	
