ADC Channel - Charge distribution	ADC Counts - Charge distribution	
525	0	
575	0	
625	0	
675	0	
725	3	
775	1	
825	8	
875	8	
925	15	
975	30	
1025	54	
1075	56	
1125	132	
1175	171	
1225	241	
1275	371	
1325	414	
1375	441	
1425	562	
1475	609	
1525	600	
1575	597	
1625	634	
1675	654	
1725	651	
1775	658	
1825	728	
1875	690	
1925	706	
1975	744	
2025	707	
2075	742	
2125	728	
2175	735	
2225	741	
2275	769	
2325	803	
2375	833	
2425	808	
2475	839	
2525	757	
2575	740	
2625	804	
2675	842	
2725	835	
2775	835	
2825	856	
2875	890	
2925	884	
2975	873	
3025	894	
3075	855	
3125	897	
3175	926	
3225	963	
3275	875	
3325	929	
3375	957	
3425	926	
3475	914	
3525	929	
3575	934	
3625	973	
3675	955	
3725	988	
3775	952	
3825	997	
3875	999	
3925	959	
3975	1009	
4025	995	
4075	1059	
4125	1003	
4175	963	
4225	1039	
4275	1004	
4325	999	
4375	1068	
4425	1007	
4475	1036	
4525	1045	
4575	1063	
4625	1057	
4675	1035	
4725	1081	
4775	1074	
4825	1129	
4875	1108	
4925	1071	
4975	1061	
5025	1071	
5075	1120	
5125	1117	
5175	1115	
5225	1107	
5275	1109	
5325	1098	
5375	1127	
5425	1146	
5475	1176	
5525	1174	
5575	1131	
5625	1164	
5675	1115	
5725	1171	
5775	1191	
5825	1197	
5875	1180	
5925	1139	
5975	1156	
6025	1184	
6075	1159	
6125	1161	
6175	1145	
6225	1118	
6275	1177	
6325	1195	
6375	1197	
6425	1161	
6475	1197	
6525	1210	
6575	1150	
6625	1169	
6675	1195	
6725	1231	
6775	1257	
6825	1241	
6875	1191	
6925	1247	
6975	1270	
7025	1249	
7075	1167	
7125	1168	
7175	1200	
7225	1219	
7275	1314	
7325	1231	
7375	1262	
7425	1289	
7475	1246	
7525	1217	
7575	1265	
7625	1275	
7675	1253	
7725	1202	
7775	1207	
7825	1230	
7875	1333	
7925	1246	
7975	1217	
8025	1167	
8075	1233	
8125	1264	
8175	1315	
8225	1238	
8275	1288	
8325	1176	
8375	1186	
8425	1306	
8475	1241	
8525	1274	
8575	1262	
8625	1278	
8675	1233	
8725	1242	
8775	1254	
8825	1235	
8875	1238	
8925	1274	
8975	1287	
9025	1234	
9075	1292	
9125	1230	
9175	1194	
9225	1287	
9275	1238	
9325	1252	
9375	1276	
9425	1278	
9475	1228	
9525	1286	
9575	1261	
9625	1330	
9675	1205	
9725	1293	
9775	1299	
9825	1321	
9875	1220	
9925	1288	
9975	1286	
10025	1285	
10075	1280	
10125	1349	
10175	1302	
10225	1247	
10275	1295	
10325	1266	
10375	1280	
10425	1257	
10475	1289	
10525	1296	
10575	1238	
10625	1335	
10675	1307	
10725	1235	
10775	1199	
10825	1296	
10875	1272	
10925	1232	
10975	1216	
11025	1280	
11075	1281	
11125	1228	
11175	1279	
11225	1331	
11275	1279	
11325	1251	
11375	1235	
11425	1218	
11475	1290	
11525	1223	
11575	1277	
11625	1243	
11675	1294	
11725	1314	
11775	1271	
11825	1212	
11875	1262	
11925	1279	
11975	1312	
12025	1202	
12075	1219	
12125	1245	
12175	1260	
12225	1186	
12275	1274	
12325	1199	
12375	1256	
12425	1244	
12475	1238	
12525	1303	
12575	1187	
12625	1191	
12675	1181	
12725	1220	
12775	1282	
12825	1172	
12875	1213	
12925	1183	
12975	1223	
13025	1238	
13075	1254	
13125	1269	
13175	1243	
13225	1196	
13275	1243	
13325	1140	
13375	1177	
13425	1241	
13475	1299	
13525	1166	
13575	1201	
13625	1168	
13675	1271	
13725	1179	
13775	1238	
13825	1164	
13875	1173	
13925	1214	
13975	1195	
14025	1241	
14075	1178	
14125	1243	
14175	1207	
14225	1200	
14275	1187	
14325	1165	
14375	1186	
14425	1232	
14475	1151	
14525	1125	
14575	1185	
14625	1132	
14675	1252	
14725	1144	
14775	1218	
14825	1166	
14875	1215	
14925	1153	
14975	1173	
15025	1209	
15075	1202	
15125	1199	
15175	1177	
15225	1248	
15275	1102	
15325	1136	
15375	1184	
15425	1121	
15475	1174	
15525	1156	
15575	1147	
15625	1094	
15675	1148	
15725	1164	
15775	1168	
15825	1103	
15875	1086	
15925	1100	
15975	1105	
16025	1113	
16075	1173	
16125	1184	
16175	1133	
16225	1091	
16275	1121	
16325	1110	
16375	1060	
16425	1091	
16475	1116	
16525	1118	
16575	1108	
16625	1112	
16675	1118	
16725	1092	
16775	1105	
16825	1083	
16875	1108	
16925	1084	
16975	1102	
17025	993	
17075	1101	
17125	1132	
17175	1080	
17225	1014	
17275	1081	
17325	1071	
17375	1025	
17425	1058	
17475	1026	
17525	1076	
17575	1011	
17625	1089	
17675	1056	
17725	1084	
17775	1083	
17825	1057	
17875	1091	
17925	1031	
17975	1049	
18025	1045	
18075	1050	
18125	1030	
18175	1065	
18225	1056	
18275	1033	
18325	1005	
18375	1050	
18425	972	
18475	1087	
18525	1024	
18575	1006	
18625	967	
18675	1060	
18725	978	
18775	1026	
18825	990	
18875	1039	
18925	939	
18975	953	
19025	1030	
19075	959	
19125	977	
19175	953	
19225	1000	
19275	916	
19325	956	
19375	983	
19425	968	
19475	1011	
19525	946	
19575	960	
19625	1017	
19675	944	
19725	934	
19775	921	
19825	979	
19875	944	
19925	943	
19975	947	
20025	925	
20075	915	
20125	890	
20175	855	
20225	978	
20275	974	
20325	930	
