ADC Channel - Charge distribution	ADC Counts - Charge distribution	
525	0	
575	0	
625	2	
675	1	
725	2	
775	0	
825	6	
875	8	
925	13	
975	24	
1025	52	
1075	46	
1125	103	
1175	177	
1225	232	
1275	303	
1325	377	
1375	395	
1425	471	
1475	507	
1525	552	
1575	565	
1625	558	
1675	564	
1725	618	
1775	606	
1825	616	
1875	646	
1925	636	
1975	641	
2025	628	
2075	614	
2125	672	
2175	689	
2225	675	
2275	675	
2325	725	
2375	671	
2425	717	
2475	687	
2525	741	
2575	726	
2625	778	
2675	733	
2725	699	
2775	730	
2825	783	
2875	772	
2925	753	
2975	768	
3025	848	
3075	736	
3125	826	
3175	765	
3225	788	
3275	863	
3325	852	
3375	859	
3425	873	
3475	817	
3525	914	
3575	830	
3625	846	
3675	884	
3725	869	
3775	888	
3825	900	
3875	915	
3925	963	
3975	884	
4025	908	
4075	926	
4125	989	
4175	954	
4225	939	
4275	970	
4325	891	
4375	943	
4425	972	
4475	956	
4525	988	
4575	967	
4625	933	
4675	983	
4725	978	
4775	989	
4825	955	
4875	949	
4925	976	
4975	969	
5025	981	
5075	1034	
5125	986	
5175	1019	
5225	1016	
5275	1007	
5325	1012	
5375	1016	
5425	978	
5475	1037	
5525	1051	
5575	1038	
5625	1049	
5675	1004	
5725	1039	
5775	1109	
5825	1037	
5875	1035	
5925	1029	
5975	991	
6025	1075	
6075	1015	
6125	1064	
6175	1112	
6225	1065	
6275	1087	
6325	1079	
6375	1078	
6425	1036	
6475	1046	
6525	1121	
6575	1084	
6625	1109	
6675	1118	
6725	1069	
6775	1036	
6825	1069	
6875	1024	
6925	1047	
6975	1134	
7025	1064	
7075	1066	
7125	1069	
7175	1074	
7225	1101	
7275	1070	
7325	1066	
7375	1103	
7425	1087	
7475	1051	
7525	1125	
7575	1113	
7625	1095	
7675	1147	
7725	1069	
7775	1120	
7825	1124	
7875	1074	
7925	1103	
7975	1139	
8025	1101	
8075	1152	
8125	1053	
8175	1108	
8225	1134	
8275	1098	
8325	1103	
8375	1182	
8425	1049	
8475	1180	
8525	1113	
8575	1139	
8625	1109	
8675	1141	
8725	1133	
8775	1099	
8825	1112	
8875	1161	
8925	1128	
8975	1110	
9025	1118	
9075	1086	
9125	1183	
9175	1145	
9225	1101	
9275	1184	
9325	1085	
9375	1211	
9425	1117	
9475	1090	
9525	1153	
9575	1168	
9625	1119	
9675	1026	
9725	1150	
9775	1129	
9825	1138	
9875	1152	
9925	1138	
9975	1142	
10025	1170	
10075	1146	
10125	1180	
10175	1162	
10225	1175	
10275	1086	
10325	1116	
10375	1165	
10425	1143	
10475	1092	
10525	1121	
10575	1153	
10625	1110	
10675	1138	
10725	1221	
10775	1113	
10825	1101	
10875	1148	
10925	1166	
10975	1160	
11025	1101	
11075	1201	
11125	1135	
11175	1160	
11225	1140	
11275	1099	
11325	1128	
11375	1128	
11425	1083	
11475	1102	
11525	1141	
11575	1080	
11625	1135	
11675	1112	
11725	1063	
11775	1129	
11825	1113	
11875	1144	
11925	1059	
11975	1120	
12025	1089	
12075	1140	
12125	1140	
12175	1114	
12225	1153	
12275	1142	
12325	1177	
12375	1079	
12425	1153	
12475	1111	
12525	1063	
12575	1134	
12625	1141	
12675	1108	
12725	1155	
12775	1086	
12825	1088	
12875	1145	
12925	1100	
12975	1108	
13025	1145	
13075	1066	
13125	1071	
13175	1093	
13225	1113	
13275	1182	
13325	1069	
13375	1102	
13425	1113	
13475	1074	
13525	1071	
13575	1017	
13625	1106	
13675	1097	
13725	1089	
13775	1123	
13825	1058	
13875	1084	
13925	1042	
13975	1061	
14025	1065	
14075	1106	
14125	1091	
14175	1078	
14225	1060	
14275	1025	
14325	1112	
14375	1031	
14425	1089	
14475	1007	
14525	1089	
14575	1086	
14625	1031	
14675	1065	
14725	1056	
14775	1090	
14825	1019	
14875	1063	
14925	1096	
14975	1084	
15025	1054	
15075	1026	
15125	1028	
15175	1068	
15225	1021	
15275	1076	
15325	1057	
15375	1025	
15425	1058	
15475	1042	
15525	1031	
15575	1044	
15625	1089	
15675	1059	
15725	1047	
15775	1020	
15825	1076	
15875	1011	
15925	1004	
15975	976	
16025	990	
16075	1001	
16125	1018	
16175	908	
16225	973	
16275	962	
16325	1047	
16375	1021	
16425	1040	
16475	992	
16525	972	
16575	961	
16625	972	
16675	985	
16725	980	
16775	1007	
16825	1014	
16875	994	
16925	972	
16975	947	
17025	974	
17075	954	
17125	957	
17175	919	
17225	981	
17275	914	
17325	941	
17375	987	
17425	993	
17475	963	
17525	977	
17575	954	
17625	938	
17675	923	
17725	928	
17775	885	
17825	935	
17875	935	
17925	979	
17975	923	
18025	979	
18075	923	
18125	938	
18175	891	
18225	929	
18275	886	
18325	934	
18375	925	
18425	967	
18475	887	
18525	904	
18575	878	
18625	950	
18675	855	
18725	868	
18775	911	
18825	888	
18875	903	
18925	940	
18975	882	
19025	879	
19075	833	
19125	923	
19175	837	
19225	951	
19275	922	
19325	862	
19375	873	
19425	878	
19475	861	
19525	865	
19575	906	
19625	871	
19675	851	
19725	900	
19775	863	
19825	877	
19875	807	
19925	866	
19975	863	
20025	749	
20075	863	
20125	831	
20175	853	
20225	884	
20275	841	
20325	873	
20375	841	
20425	798	
20475	805	
20525	826	
20575	818	
20625	868	
20675	849	
20725	841	
20775	837	
20825	815	
20875	778	
20925	770	
